ncc/000000.jpg
('score = ', 'ncc/000008.jpg', 'ncc/000001.jpg', 44111864.28930664, 430.77992470026015)
('score = ', 'ncc/000008.jpg', 'ncc/000002.jpg', 44894460.15625, 438.4224624633789)
('score = ', 'ncc/000008.jpg', 'ncc/000003.jpg', 25786718.47528076, 251.82342261016368)
('score = ', 'ncc/000008.jpg', 'ncc/000004.jpg', 32268140.90637207, 315.1185635387898)
('score = ', 'ncc/000008.jpg', 'ncc/000005.jpg', 25419626.32092285, 248.23853829026223)
('score = ', 'ncc/000008.jpg', 'ncc/000006.jpg', 23915871.605285645, 233.55343364536762)
('score = ', 'ncc/000008.jpg', 'ncc/000007.jpg', 20770872.369934082, 202.84055048763753)
('score = ', 'ncc/000008.jpg', 'ncc/000008.jpg', 37147064.36437988, 362.7643004333973)
('score = ', 'ncc/000008.jpg', 'ncc/000009.jpg', 25016497.943359375, 244.3017377281189)
ncc/000009.jpg
('score = ', 'ncc/000009.jpg', 'ncc/000000.jpg', 30481104.247558594, 297.6670336675644)
('score = ', 'ncc/000009.jpg', 'ncc/000001.jpg', 38878121.80126953, 379.66915821552277)
('score = ', 'ncc/000009.jpg', 'ncc/000002.jpg', 39511140.23364258, 385.8509788441658)
('score = ', 'ncc/000009.jpg', 'ncc/000003.jpg', 21182080.77319336, 206.8562575507164)
('score = ', 'ncc/000009.jpg', 'ncc/000004.jpg', 30180904.510375977, 294.73539560914037)
('score = ', 'ncc/000009.jpg', 'ncc/000005.jpg', 22513714.240478516, 219.860490629673)
('score = ', 'ncc/000009.jpg', 'ncc/000006.jpg', 20980400.030029297, 204.88671904325486)
('score = ', 'ncc/000009.jpg', 'ncc/000007.jpg', 19433697.684753418, 189.7822039526701)
('score = ', 'ncc/000009.jpg', 'ncc/000008.jpg', 31835448.725463867, 310.8930539596081)
('score = ', 'ncc/000009.jpg', 'ncc/000009.jpg', 23731779.818969727, 231.75566229462623)
